Feature	Gain	Cover	Frequency
mrentabilidad_annual_lag1	0.00452994724839959	0.00320315226522691	0.00789614561027837
rf_015_011	0.00442871812564037	0.00601127067657651	0.00133832976445396
mpayroll	0.00439195211798598	0.00268238877507749	0.00378556133374121
Master_status	0.00436317301388919	0.00191159716304575	0.000688283878862037
mprestamos_personales_delta2	0.00428356588464134	0.00731879831371298	0.00273401651881309
cliente_edad_lag2	0.00425211471720379	0.00558927844089553	0.0089859284184766
Visa_mpagominimo_delta1	0.00420929088443041	0.00983693360544621	0.00657693484245947
rf_008_011	0.00390877021773653	0.00190635009103186	0.000860354848577547
cliente_edad	0.00390101940399807	0.00985322585532784	0.00824028754970939
Visa_mfinanciacion_limite	0.00379838916857349	0.00310428108483108	0.00508565310492505
rf_010_006	0.00379734041680405	0.000551685760543698	0.000726521872132151
Master_fechaalta	0.00376943015734155	0.00485761263356582	0.00858442948914041
cproductos	0.00373737623221263	0.00808851548181878	0.00762847965738758
rf_013_000	0.00356242234241127	0.000168177257439987	0.000152951973080453
mcuentas_saldo_delta1	0.0034791915610748	0.00722607209743817	0.00718874273478128
rf_018_006	0.00345299323803916	0.00114047694844512	0.000994187825022943
rf_011_003	0.00337236522059277	0.00350648918792278	0.000936830835117773
Visa_msaldototal	0.003356332256828	0.00815639593295182	0.00875650045885592
Visa_fechaalta	0.00334782128155598	0.00451814888502224	0.00869914346895075
Visa_Fvencimiento	0.00332297036005628	0.00524117470273157	0.00755200367084735
mcomisiones_lag2	0.00332072619998669	0.00275811028882495	0.00636662587947385
numero_de_cliente	0.00332061869527602	0.00526580860569077	0.00829764453961456
rf_010_008	0.00330349394764192	0.000277276192792765	0.000152951973080453
mcuenta_corriente_lag1	0.0032992216941136	0.00722796348386178	0.00481798715203426
mcuenta_corriente_delta2	0.00329508640363239	0.00413002385211469	0.00504741511165494
mrentabilidad_annual	0.00328307872624451	0.00298294362543931	0.00640486387274396
ctarjeta_visa_delta2	0.00319943834300671	0.000770635477770198	0.000210308962985623
Visa_mpagominimo_lag1	0.00316537157616227	0.00506867180562731	0.00701667176506577
Master_mpagominimo	0.00316081127231642	0.00781272640781553	0.00472239216885898
mrentabilidad_annual_delta2	0.00311449450021376	0.00388333099826538	0.00653869684918935
mcomisiones_mantenimiento	0.00310081267352114	0.00716282378953512	0.00521948608137045
mactivos_margen_lag1	0.00309772814725712	0.00489625201999151	0.00705490975833588
mttarjeta_visa_debitos_automaticos_delta2	0.00303526924498176	0.00455295769749602	0.00544891404099113
mcomisiones_lag1	0.00286663119791339	0.0023930585368809	0.00716962373814622
mtarjeta_master_consumo	0.0028555071539174	0.00387130097351718	0.00198837565004589
mcomisiones	0.0028020324304101	0.00398728759166278	0.00802997858672377
mcuentas_saldo_lag2	0.00279356876580562	0.00319464559024522	0.00571657999388192
internet	0.00277696388348012	0.00569559122040281	0.0029060874885286
cliente_edad_lag1	0.00273962756788946	0.00498085397012213	0.00613719791985317
mrentabilidad	0.00268873677547846	0.00277068029791152	0.00640486387274396
mprestamos_personales_lag2	0.00267631362771715	0.00256553092775251	0.00187366167023555
Master_Fvencimiento	0.00260129171812251	0.00230808306555537	0.00642398286937902
cliente_antiguedad_lag1	0.00257347434702738	0.00582595780403603	0.007093147751606
mcuentas_saldo_lag1	0.00256008549798062	0.00215532634840452	0.00558274701743653
chomebanking_transacciones_lag1	0.00255087528202341	0.00189709973655214	0.00583129397369226
mcomisiones_mantenimiento_delta2	0.00253222529060192	0.00320494852985427	0.00372820434383604
chomebanking_transacciones	0.00252788967127777	0.00255615638648323	0.00560186601407158
ctarjeta_master_delta2	0.00251550077171479	0.000524447297895491	0.000229427959620679
ctarjeta_visa_transacciones_delta2	0.00250296032037783	0.00511939982720093	0.0039193943101866
Visa_Fvencimiento_lag1	0.00246111899983036	0.0028361144854761	0.00529596206791068
mactivos_margen_lag2	0.00241345907642742	0.00501342477811169	0.0055062710308963
Visa_fechaalta_lag2	0.00238134520565386	0.00307936493916833	0.00552539002753136
